"Cod","Município","Município GRE","IDEPE 5º ANO EF","IDEPE 9º ANO EF","IDEPE 3º ANO EM"
2602902,CABO DE SANTO AGOSTINHO,GRE METROPOLITANA SUL,"5,06","3,98",-
2603454,CAMARAGIBE,GRE METROPOLITANA SUL,"5,03","4,26",-
2605459,FERNANDO DE NORONHA,GRE RECIFE NORTE,-,-,-
2606606,IBIMIRIM,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"4,44","3,90",-
2610707,PAULISTA,GRE METROPOLITANA NORTE,"4,67","4,04",-
2611101,PETROLINA,GRE SERTAO MEDIO SAO FRANCISCO - PETROLINA,"5,59","4,72",-
2611606,RECIFE,GRE RECIFE,"4,97","4,29",-
2600054,ABREU E LIMA,GRE METROPOLITANA NORTE,"4,37",-,-
2600708,ALIANCA,GRE MATA NORTE - NAZARE DA MATA,"3,96","3,65",-
2600807,ALTINHO,GRE AGRESTE CENTRO NORTE - CARUARU,"4,61","3,89",-
2601102,ARARIPINA,GRE SERTAO DO ARARIPE - ARARIPINA,"4,29","3,64",-
2601201,ARCOVERDE,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"5,34","4,59",-
2601607,BELEM DO SAO FRANCISCO,GRE SERTAO DO SUBMEDIO SAO FRANCISCO - FLORESTA,"4,94","4,68",-
2601706,BELO JARDIM,GRE AGRESTE CENTRO NORTE - CARUARU,"4,25","4,26",-
2601904,BEZERROS,GRE MATA CENTRO - VITORIA DE SANTO ANTAO,"5,11","4,67",-
2602001,BODOCO,GRE SERTAO DO ARARIPE - ARARIPINA,"3,88","3,28",-
2602100,BOM CONSELHO,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,82","4,02",-
2602704,BUENOS AIRES,GRE MATA NORTE - NAZARE DA MATA,"4,57","3,85",-
2602803,BUIQUE,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"4,94","4,10",-
2603009,CABROBO,GRE SERTAO MEDIO SAO FRANCISCO - PETROLINA,"4,91","4,24",-
2603108,CACHOEIRINHA,GRE AGRESTE CENTRO NORTE - CARUARU,"4,92","4,46",-
2604007,CARPINA,GRE MATA NORTE - NAZARE DA MATA,"5,03","3,96",-
2604106,CARUARU,GRE AGRESTE CENTRO NORTE - CARUARU,"4,55","4,01",-
2604205,CATENDE,GRE MATA SUL -PALMARES,"4,13","3,41",-
2604304,CEDRO,GRE SERTAO CENTRAL - SALGUEIRO,"4,60","3,99",-
2605004,CUPIRA,GRE AGRESTE CENTRO NORTE - CARUARU,"6,37","5,38",-
2605103,CUSTODIA,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"7,52","6,54",-
2605301,EXU,GRE SERTAO DO ARARIPE - ARARIPINA,"5,30","4,07",-
2605608,FLORES,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"5,86","5,18",-
2605707,FLORESTA,GRE SERTAO DO SUBMEDIO SAO FRANCISCO - FLORESTA,"4,03","3,48",-
2606002,GARANHUNS,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,89","4,14",-
2606200,GOIANA,GRE MATA NORTE - NAZARE DA MATA,"3,90","3,59",-
2606309,GRANITO,GRE SERTAO DO ARARIPE - ARARIPINA,"5,30","4,29",-
2606408,GRAVATA,GRE MATA CENTRO - VITORIA DE SANTO ANTAO,"4,63","4,04",-
2606804,IGARASSU,GRE METROPOLITANA NORTE,"5,03","4,30",-
2607000,INAJA,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"4,82","3,79",-
2607307,IPUBI,GRE SERTAO DO ARARIPE - ARARIPINA,"5,22","3,93",-
2607505,ITAIBA,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"4,32","3,78",-
2607604,ILHA DE ITAMARACA,GRE METROPOLITANA NORTE,"4,49",-,-
2607653,ITAMBE,GRE MATA NORTE - NAZARE DA MATA,"4,01","3,43",-
2607752,ITAPISSUMA,GRE METROPOLITANA NORTE,"5,55","4,18",-
2607901,JABOATAO DOS GUARARAPES,GRE METROPOLITANA SUL,"5,04","4,09",-
2608057,JATOBA,GRE SERTAO DO SUBMEDIO SAO FRANCISCO - FLORESTA,"4,98","4,25",-
2608750,LAGOA GRANDE,GRE SERTAO MEDIO SAO FRANCISCO - PETROLINA,"6,74","4,17",-
2608909,LIMOEIRO,GRE VALE DO CAPIBARIBE - LIMOEIRO,"5,24","4,86",-
2609006,MACAPARANA,GRE MATA NORTE - NAZARE DA MATA,"4,45","4,21",-
2609303,MIRANDIBA,GRE SERTAO CENTRAL - SALGUEIRO,"4,27","3,91",-
2609501,NAZARE DA MATA,GRE MATA NORTE - NAZARE DA MATA,"4,79","3,97",-
2609600,OLINDA,GRE METROPOLITANA NORTE,"5,14","4,14",-
2609907,OURICURI,GRE SERTAO DO ARARIPE - ARARIPINA,"4,05","3,50",-
2610509,PASSIRA,GRE VALE DO CAPIBARIBE - LIMOEIRO,"5,68","4,92",-
2610608,PAUDALHO,GRE MATA NORTE - NAZARE DA MATA,"4,94","4,56",-
2610806,PEDRA,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"4,60","4,28",-
2610905,PESQUEIRA,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"5,17","4,38",-
2611002,PETROLANDIA,GRE SERTAO DO SUBMEDIO SAO FRANCISCO - FLORESTA,"4,98","4,29",-
2611533,QUIXABA,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"7,22","5,71",-
2611804,RIBEIRAO,GRE MATA SUL -PALMARES,"4,44","4,21",-
2612208,SALGUEIRO,GRE SERTAO CENTRAL - SALGUEIRO,"5,40","4,60",-
2612406,SANHARO,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"4,44","4,44",-
2612471,SANTA CRUZ DA BAIXA VERDE,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"5,26","4,19",-
2612505,SANTA CRUZ DO CAPIBARIBE,GRE AGRESTE CENTRO NORTE - CARUARU,"4,61","4,26",-
2612604,SANTA MARIA DA BOA VISTA,GRE SERTAO MEDIO SAO FRANCISCO - PETROLINA,"4,44","3,62",-
2613107,SAO CAITANO,GRE AGRESTE CENTRO NORTE - CARUARU,"4,51","3,81",-
2613503,SAO JOSE DO BELMONTE,GRE SERTAO CENTRAL - SALGUEIRO,"5,54","4,00",-
2613602,SAO JOSE DO EGITO,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"5,50","5,15",-
2613701,SAO LOURENCO DA MATA,GRE METROPOLITANA SUL,"4,35","3,87",-
2613909,SERRA TALHADA,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"5,86","4,59",-
2614105,SERTANIA,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"4,98","4,27",-
2614303,MOREILANDIA,GRE SERTAO DO ARARIPE - ARARIPINA,"4,48","3,26",-
2614501,SURUBIM,GRE VALE DO CAPIBARIBE - LIMOEIRO,"5,06","4,35",-
2614600,TABIRA,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"5,96","4,72",-
2614709,TACAIMBO,GRE AGRESTE CENTRO NORTE - CARUARU,"4,19","3,81",-
2614808,TACARATU,GRE SERTAO DO SUBMEDIO SAO FRANCISCO - FLORESTA,"5,11","4,54",-
2615003,TAQUARITINGA DO NORTE,GRE AGRESTE CENTRO NORTE - CARUARU,"4,99","4,20",-
2615102,TEREZINHA,GRE AGRESTE MERIDIONAL - GARANHUNS,"5,95","4,90",-
2615300,TIMBAUBA,GRE MATA NORTE - NAZARE DA MATA,"4,84","4,44",-
